NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
8978,10026.6318,3568.7795,214.9287045,52.9539281,0.0,F606W,0.1631584,0.053202,3.0667719258674486,-0.0031584933754287125,0.0025455735992986495,-1.2407786505559821,4.307550576423431,
8978,10026.6318,3568.7795,214.9287045,52.9539281,0.0,F814W,-0.38516,0.04287913,-8.982458366109574,0.0,0.0,0.0,-8.982458366109574,
8978,10026.6318,3568.7795,214.9287045,52.9539281,0.0,F115W,7.390713,0.1010824,73.115725388396,0.0,0.0,0.0,73.115725388396,
8978,10026.6318,3568.7795,214.9287045,52.9539281,0.0,F150W,9.092031,0.1197893,75.90019308903216,0.0,0.0,0.0,75.90019308903216,
8978,10026.6318,3568.7795,214.9287045,52.9539281,0.0,F200W,8.593572,0.0950808,90.38178054875434,0.0,0.0,0.0,90.38178054875434,
8978,10026.6318,3568.7795,214.9287045,52.9539281,0.0,F277W,6.532988,0.07898263,82.71423729495966,0.0,0.0,0.0,82.71423729495966,
8978,10026.6318,3568.7795,214.9287045,52.9539281,0.0,F356W,4.279122,0.08312967,51.47526749474646,0.0,0.0,0.0,51.47526749474646,
8978,10026.6318,3568.7795,214.9287045,52.9539281,0.0,F410M,0.9767491,0.1835955,5.320114599758709,0.0,0.0,0.0,5.320114599758709,
8978,10026.6318,3568.7795,214.9287045,52.9539281,0.0,F444W,0.8164696,0.1469835,5.554838468263445,0.0,0.0,0.0,5.554838468263445,
9935,9849.5234,3894.47,214.9268599,52.9568108,0.0,F606W,0.01067704,0.0133005,0.8027547836547498,0.000700855672499079,0.0022412416665321903,0.3127086574218001,0.49004612623294974,2.567101244568187
9935,9849.5234,3894.47,214.9268599,52.9568108,0.0,F814W,0.04211043,0.01071978,3.9282923716718066,0.0,0.0,0.0,3.9282923716718066,
9935,9849.5234,3894.47,214.9268599,52.9568108,0.0,F115W,0.2014041,0.02527061,7.9698946721112,0.0,0.0,0.0,7.9698946721112,
9935,9849.5234,3894.47,214.9268599,52.9568108,0.0,F150W,0.4223387,0.02994732,14.102721044821374,0.0,0.0,0.0,14.102721044821374,
9935,9849.5234,3894.47,214.9268599,52.9568108,0.0,F200W,0.3440765,0.0237702,14.475120108370987,0.0,0.0,0.0,14.475120108370987,
9935,9849.5234,3894.47,214.9268599,52.9568108,0.0,F277W,0.3984636,0.01974566,20.179806600539052,0.0,0.0,0.0,20.179806600539052,
9935,9849.5234,3894.47,214.9268599,52.9568108,0.0,F356W,0.1152984,0.02078242,5.547881334320064,0.0,0.0,0.0,5.547881334320064,
9935,9849.5234,3894.47,214.9268599,52.9568108,0.0,F410M,0.7208619,0.04589888,15.705435513894892,0.0,0.0,0.0,15.705435513894892,
9935,9849.5234,3894.47,214.9268599,52.9568108,0.0,F444W,0.288711,0.03674588,7.856962467629024,0.0,0.0,0.0,7.856962467629024,
5630,7559.2959,2349.7078,214.9636681,52.9630032,0.001,F606W,0.5487142,0.04181009,13.123966009161904,0.027675814515429137,0.0020726447985609923,13.352897966233316,-0.22893195707141167,0.9828552605097162
5630,7559.2959,2349.7078,214.9636681,52.9630032,0.001,F814W,0.3207561,0.03369761,9.518660225458126,0.0,0.0,0.0,9.518660225458126,
5630,7559.2959,2349.7078,214.9636681,52.9630032,0.001,F115W,4.577096,0.07943811,57.61838996421239,0.0,0.0,0.0,57.61838996421239,
5630,7559.2959,2349.7078,214.9636681,52.9630032,0.001,F150W,7.846127,0.09413934,83.34588918936547,0.0,0.0,0.0,83.34588918936547,
