ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo	DELTA_FLUX	DELTA_MAG
56.0	713.1939	165.6097	27.1698	0.0221	29.1106	0.0669	0.461	2.326468	0.0472776	0.3893843	0.0239785	214.9193622	52.849179	57.0	713.1939	165.6097	27.8396	0.0328	29.055	0.0635	0.461	1.255405	0.03786482	0.4098446	0.0239785	214.9193622	52.849179	1.071063	0.6698000000000022
73.0	937.0325	164.9008	26.2769	0.014	27.9845	0.0237	0.0	5.294606	0.06816747	1.098471	0.02402139	214.9173689	52.8477541	71.0	937.0325	164.9008	26.4212	0.0153	27.9818	0.0237	0.0	4.635787	0.06530292	1.101229	0.02402139	214.9173689	52.8477541	0.6588190000000003	0.14429999999999765
74.0	3677.0857	174.9449	29.3419	0.1812	29.7507	0.1209	0.084	0.3146659	0.05250906	0.2159409	0.02404586	214.8927821	52.8304102	72.0	3677.0857	174.9449	29.0319	0.1396	29.4122	0.0885	0.071	0.4186484	0.05382286	0.2949273	0.02404586	214.8927821	52.8304102	0.10398249999999998	0.3099999999999987
103.0	4174.9194	182.3339	31.1712	0.6322	31.4499	0.5788	0.364	0.0583629	0.03397571	0.04515085	0.0240642	214.8882586	52.8272885	84.0	4174.9194	182.3339	30.8052	0.457	31.3596	0.5326	0.364	0.08175912	0.03440579	0.0490661	0.0240642	214.8882586	52.8272885	0.023396220000000002	0.36599999999999966
119.0	1461.7869	179.253	31.0577	0.355	30.2419	0.19	0.459	0.06479473	0.02117793	0.1373587	0.02403363	214.912528	52.8445	115.0	1461.7869	179.253	30.7719	0.3005	30.2628	0.1937	0.459	0.08430687	0.02332569	0.1347329	0.02403363	214.912528	52.8445	0.01951214000000001	0.28580000000000183
138.0	2020.8003	188.4305	29.446	0.2031	99.0	99.0	0.348	0.285904	0.05348025	-0.09509439	0.02401527	214.9074362	52.8410003	134.0	2020.8003	188.4305	29.8506	0.2728	99.0	99.0	0.348	0.1969638	0.04948126	-0.09509439	0.02401527	214.9074362	52.8410003	0.0889402	0.4045999999999985
139.0	731.5235	183.4862	28.2013	0.0655	30.5035	0.2422	0.359	0.8996885	0.05429887	0.1079429	0.02407032	214.9190104	52.8491591	143.0	731.5235	183.4862	28.3742	0.0706	30.5035	0.2422	0.359	0.7671996	0.04985136	0.1079429	0.02407032	214.9190104	52.8491591	0.13248890000000002	0.1728999999999985
140.0	1460.6891	182.0023	29.3858	0.0882	29.1532	0.0696	0.375	0.3022047	0.02455419	0.3743846	0.02399689	214.9125089	52.8445218	135.0	1460.6891	182.0023	29.2304	0.0801	29.1501	0.0694	0.375	0.3487038	0.02572408	0.3754747	0.02399689	214.9125089	52.8445218	0.046499100000000015	0.1554000000000002
313.0	6099.1196	255.4845	31.4318	0.4626	30.7931	0.3163	0.378	0.04590829	0.01955331	0.08267719	0.02407642	214.8703121	52.8154616	307.0	6099.1196	255.4845	30.8631	0.2372	30.7383	0.3007	0.378	0.07751469	0.01693366	0.08695141	0.02407642	214.8703121	52.8154616	0.0316064	0.5686999999999998
396.0	6122.4624	288.1564	30.8461	0.4473	34.5	9.5923	0.347	0.07873354	0.0324255	0.002720281	0.02402751	214.8697603	52.8154895	388.0	6122.4624	288.1564	30.9716	0.5125	35.4826	23.7114	0.347	0.07014345	0.03309876	0.00110048	0.02402751	214.8697603	52.8154895	0.008590090000000009	0.12549999999999883
397.0	8342.1475	280.76	27.7963	0.048	29.4469	0.0913	0.369	1.306492	0.05771222	0.2856591	0.02402751	214.8500348	52.8013481	389.0	8342.1475	280.76	27.92	0.0483	29.4469	0.0913	0.369	1.165742	0.05180421	0.2856591	0.02402751	214.8500348	52.8013481	0.14074999999999993	0.12370000000000303
454.0	6427.5352	303.5223	28.2439	0.0453	28.7611	0.0486	0.079	0.8650388	0.03607491	0.5372194	0.02405809	214.8668763	52.8136345	477.0	6427.5352	303.5223	28.3961	0.0481	28.8093	0.0508	0.07	0.7519439	0.03332016	0.5138879	0.02405809	214.8668763	52.8136345	0.1130949	0.15220000000000056
524.0	3016.8589	332.6829	27.6374	0.0322	28.4226	0.0356	0.0	1.512362	0.04488425	0.7337838	0.02405809	214.8970211	52.835454	518.0	3016.8589	332.6829	27.7661	0.0347	28.4277	0.0358	0.0	1.343284	0.04287347	0.7303523	0.02405809	214.8970211	52.835454	0.16907800000000006	0.12870000000000203
739.0	954.396	461.0294	26.7498	0.0296	28.8575	0.0531	0.0	3.425265	0.09330276	0.4915849	0.02401527	214.9141006	52.8492424	732.0	954.396	461.0294	26.929	0.032	28.8575	0.0531	0.0	2.904123	0.08557528	0.4915849	0.02401527	214.9141006	52.8492424	0.5211420000000002	0.17919999999999803
948.0	10184.4854	544.0693	29.066	0.1253	28.8344	0.052	0.001	0.4056884	0.04680872	0.5021622	0.0240642	214.8308407	52.7910607	941.0	10184.4854	544.0693	29.2266	0.1592	28.8409	0.0524	0.001	0.3499213	0.05130506	0.4991524	0.0240642	214.8308407	52.7910607	0.055767100000000014	0.1606000000000023
1056.0	2148.448	600.5112	27.9958	0.0614	28.9356	0.057	0.0	1.087193	0.06147524	0.4574716	0.02402751	214.9019638	52.8424137	1047.0	2148.448	600.5112	27.8913	0.0584	28.8997	0.0552	0.0	1.19698	0.06433878	0.4728651	0.02402751	214.9019638	52.8424137	0.10978699999999986	0.10449999999999804
1132.0	7497.5298	655.6141	27.0006	0.0285	27.7601	0.0193	0.0	2.718799	0.07143292	1.350705	0.02402751	214.8536289	52.8087357	1125.0	7497.5298	655.6141	26.8439	0.0264	27.7587	0.0193	0.0	3.140825	0.07621355	1.352521	0.02402751	214.8536289	52.8087357	0.4220259999999998	0.15669999999999717
1138.0	3903.8655	632.3176	31.9293	1.2989	30.5328	0.2487	0.081	0.02903327	0.03472487	0.105074	0.0240642	214.8859491	52.8314378	1133.0	3903.8655	632.3176	32.3317	1.8816	30.5328	0.2487	0.081	0.020042	0.03472487	0.105074	0.0240642	214.8859491	52.8314378	0.008991269999999999	0.40239999999999654
1322.0	1023.4937	743.0485	27.3475	0.0325	29.1892	0.0721	0.059	1.975183	0.059097	0.3621794	0.02403975	214.9105181	52.8503259	1316.0	1023.4937	743.0485	27.4692	0.0348	29.1892	0.0721	0.059	1.765674	0.05655399	0.3621794	0.02403975	214.9105181	52.8503259	0.20950899999999995	0.12170000000000059
1787.0	1059.7604	927.9229	27.5588	0.0331	29.0692	0.0645	0.022	1.62586	0.0495555	0.4045253	0.02402139	214.9082502	52.8510935	1782.0	1059.7604	927.9229	27.7272	0.0359	29.0692	0.0645	0.022	1.392229	0.04601664	0.4045253	0.02402139	214.9082502	52.8510935	0.23363100000000014	0.16839999999999833
1801.0	1690.5052	942.4997	27.7123	0.0309	28.1198	0.027	0.001	1.411489	0.04021888	0.9697969	0.02408863	214.9024602	52.8471672	1793.0	1690.5052	942.4997	27.5615	0.0306	28.1131	0.0268	0.0	1.621899	0.04569596	0.9758034	0.02408863	214.9024602	52.8471672	0.21040999999999999	0.15080000000000027
1834.0	1018.6447	950.6042	26.4381	0.0146	28.077	0.0259	0.0	4.564055	0.06129557	1.008796	0.02403363	214.9083792	52.8514769	1823.0	1018.6447	950.6042	26.3364	0.0141	28.077	0.0259	0.0	5.012637	0.06513382	1.008796	0.02403363	214.9083792	52.8514769	0.44858200000000004	0.10169999999999746
1842.0	9929.0215	943.5201	28.6106	0.0633	29.0589	0.0639	0.066	0.6171241	0.03597286	0.4083545	0.02401527	214.8289198	52.7948374	1832.0	9929.0215	943.5201	28.4582	0.0598	29.0053	0.0608	0.013	0.7101259	0.03910662	0.4290222	0.02401527	214.8289198	52.7948374	0.09300180000000002	0.1524000000000001
1881.0	4349.6572	965.019	28.2777	0.0476	29.114	0.0672	0.001	0.8385639	0.03678134	0.3881438	0.02402751	214.8784709	52.8304013	1859.0	4349.6572	965.019	27.9843	0.0439	29.0783	0.0651	0.001	1.098768	0.04439009	0.4011165	0.02402751	214.8784709	52.8304013	0.26020409999999994	0.29339999999999833
2094.0	8261.5615	1059.2606	28.9495	0.1323	29.0166	0.0615	0.004	0.4516421	0.05503858	0.4245778	0.02402751	214.8425712	52.8060576	2088.0	8261.5615	1059.2606	29.0737	0.1469	29.0293	0.0622	0.006	0.4028456	0.05450161	0.4196509	0.02402751	214.8425712	52.8060576	0.048796499999999965	0.12419999999999831
2132.0	2859.5222	1066.5057	30.5211	0.2601	30.4843	0.2379	0.298	0.1062146	0.02543665	0.1098685	0.0240642	214.8907121	52.8404129	2123.0	2859.5222	1066.5057	30.7254	0.3049	30.4843	0.2379	0.087	0.08799133	0.02470345	0.1098685	0.0240642	214.8907121	52.8404129	0.01822327	0.20429999999999993
2219.0	6084.6426	1115.021	32.0888	0.887	99.0	99.0	0.353	0.02506572	0.0204718	-0.0168488	0.02403975	214.8614064	52.8201895	2210.0	6084.6426	1115.021	31.7295	0.6026	99.0	99.0	0.353	0.03489824	0.01936438	-0.02205809	0.02403975	214.8614064	52.8201895	0.009832519999999997	0.3592999999999975
2251.0	10274.2041	1130.5122	29.5704	0.2864	29.9544	0.1456	0.187	0.2549431	0.06724441	0.1789951	0.02400302	214.8238775	52.7936515	2239.0	10274.2041	1130.5122	29.7227	0.343	29.9544	0.1456	0.187	0.2215699	0.06997707	0.1789951	0.02400302	214.8238775	52.7936515	0.03337319999999999	0.15230000000000032
2330.0	7632.9263	1164.7621	28.0792	0.0432	28.7359	0.0474	0.146	1.006801	0.04003565	0.5498358	0.02400914	214.8470693	52.8106209	2321.0	7632.9263	1164.7621	27.9196	0.0397	28.756	0.0483	0.063	1.166226	0.04261545	0.539752	0.02400914	214.8470693	52.8106209	0.15942499999999993	0.15960000000000107
2479.0	10296.9814	1299.7568	24.6304	0.0062	27.9582	0.0232	0.0	24.12375	0.1367388	1.125494	0.02403363	214.8218956	52.7944189	2476.0	10296.9814	1299.7568	24.8282	0.0066	27.9582	0.0232	0.0	20.1054	0.1212645	1.125494	0.02403363	214.8218956	52.7944189	4.018350000000002	0.1977999999999973
2542.0	7994.5049	1241.0212	28.6095	0.0578	29.0649	0.0642	0.0	0.6177295	0.03287587	0.4061182	0.02399689	214.8430425	52.8087345	2532.0	7994.5049	1241.0212	29.0763	0.0736	29.2024	0.0728	0.001	0.4018842	0.0272508	0.3578026	0.02399689	214.8430425	52.8087345	0.21584530000000002	0.4667999999999992
2575.0	3722.7065	1256.0095	28.9003	0.1045	29.2564	0.0766	0.444	0.4725918	0.04545397	0.3404581	0.02400914	214.8810101	52.8359532	2563.0	3722.7065	1256.0095	28.7788	0.103	29.267	0.0773	0.444	0.528543	0.05014547	0.3371266	0.02400914	214.8810101	52.8359532	0.05595119999999998	0.12150000000000105
2809.0	7322.8125	1338.4222	29.726	0.1417	29.9628	0.1469	0.394	0.2209142	0.02882424	0.1776118	0.02402139	214.8480102	52.8135277	2808.0	7322.8125	1338.4222	30.0636	0.1637	29.9951	0.1513	0.386	0.1618748	0.02440401	0.1724066	0.02402139	214.8480102	52.8135277	0.05903939999999999	0.3376000000000019
2879.0	8431.6592	1365.2842	29.5165	0.0989	29.2236	0.0745	0.369	0.2679234	0.02440401	0.3508864	0.0240642	214.8378374	52.8066266	2866.0	8431.6592	1365.2842	29.4159	0.089	29.2236	0.0745	0.369	0.2939213	0.02410084	0.3508864	0.0240642	214.8378374	52.8066266	0.025997900000000018	0.10060000000000002
2889.0	6904.7539	1365.5685	27.3976	0.0369	28.8868	0.0546	0.001	1.886084	0.06410982	0.4785282	0.02403975	214.8514545	52.8163303	2875.0	6904.7539	1365.5685	27.2937	0.0353	28.8881	0.0546	0.001	2.075441	0.06740822	0.4779339	0.02403975	214.8514545	52.8163303	0.189357	0.10389999999999944
3022.0	7256.3745	1428.8964	27.6913	0.0477	29.4825	0.0943	0.382	1.439073	0.06318566	0.2764316	0.02400914	214.8476518	52.8144376	3007.0	7256.3745	1428.8964	27.8026	0.0502	29.4825	0.0943	0.382	1.29888	0.06002286	0.2764316	0.02400914	214.8476518	52.8144376	0.140193	0.11130000000000351
