NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	CLASS_STAR	REDSHIFT	REDSHIFT_BIN	POINTING	SEX_FLUX_F606W	SEX_FLUXERR_F606W	SEX_MAG_F606W	SEX_MAGERR_F606W	SEX_FLUX_F814W	SEX_FLUXERR_F814W	SEX_MAG_F814W	SEX_MAGERR_F814W	SEX_FLUX_F115W	SEX_FLUXERR_F115W	SEX_MAG_F115W	SEX_MAGERR_F115W	SEX_FLUX_F150W	SEX_FLUXERR_F150W	SEX_MAG_F150W	SEX_MAGERR_F150W	SEX_FLUX_F200W	SEX_FLUXERR_F200W	SEX_MAG_F200W	SEX_MAGERR_F200W	SEX_FLUX_F277W	SEX_FLUXERR_F277W	SEX_MAG_F277W	SEX_MAGERR_F277W	SEX_FLUX_F356W	SEX_FLUXERR_F356W	SEX_MAG_F356W	SEX_MAGERR_F356W	SEX_FLUX_F410M	SEX_FLUXERR_F410M	SEX_MAG_F410M	SEX_MAGERR_F410M	SEX_FLUX_F444W	SEX_FLUXERR_F444W	SEX_MAG_F444W	SEX_MAGERR_F444W	EAZY_FLUX_F606W	EAZY_FLUXERR_F606W	EAZY_FLUX_F814W	EAZY_FLUXERR_F814W	EAZY_FLUX_F115W	EAZY_FLUXERR_F115W	EAZY_FLUX_F150W	EAZY_FLUXERR_F150W	EAZY_FLUX_F200W	EAZY_FLUXERR_F200W	EAZY_FLUX_F277W	EAZY_FLUXERR_F277W	EAZY_FLUX_F356W	EAZY_FLUXERR_F356W	EAZY_FLUX_F410M	EAZY_FLUXERR_F410M	EAZY_FLUX_F444W	EAZY_FLUXERR_F444W
689	10306.8223	306.6112	214.960551	52.9345327	0.354	-1	z8-10	nircam1	0.0001070278	0.02431521	38.0128	246.7239	0.008056748	0.01959729	33.3211	2.6416	-0.2220732	0.04619828	99.0	99.0	-0.1107911	0.05474797	99.0	99.0	0.06382573	0.04345531	31.074	0.7394	-0.2449749	0.03609788	99.0	99.0	0.2518558	0.03799322	29.5836	0.1638	0.734873	0.08390971	28.421	0.124	2.859361	0.0671767	26.9458	0.0255	-0.0009038290690952857	0.0015636905022412856	0.0014972151802347632	0.0021620170421325358	-0.0010353313329899577	0.0006654520319915262	-0.0010132922430797968	0.0007833251708529202	0.002880794529645701	0.0006254818967596595	0.001812034614024623	0.0006026480749359904	0.0035175832570009708	0.0006889276355029858	0.011205065760404653	0.0015946382689913893	0.0	0.0
1172	2871.3633	507.8744	215.0251433	52.9827828	0.083	-1	z8-10	nircam1	-0.04054028	0.03032213	99.0	99.0	0.07138683	0.02443868	30.9525	0.3718	1.572241	0.05761127	27.5952	0.0398	2.19092	0.06827311	27.235	0.0338	1.586462	0.05419068	27.5854	0.0371	0.70087	0.04501563	28.4724	0.0698	0.9516525	0.04737921	28.1403	0.0541	0.9429971	0.1046391	28.1502	0.1205	0.5174168	0.08377229	28.8019	0.1758	-0.0027626910755207006	0.0015628922151688168	-7.349400757800201e-05	0.002160915519488866	0.009056252991067396	0.0006651128225137044	0.01089144411453697	0.0007829259407856348	0.009954555992887944	0.0006251628753359464	0.0066061572897598494	0.0006023408227024465	0.0115116541234363	0.0006885763012576191	0.022183803266039786	0.0015938252527980298	0.0	0.0
1961	1083.0402	832.3328	215.0377925	52.9958754	0.001	-1	z8-10	nircam1	0.05605463	0.01356047	31.215	0.2627	0.0001773795	0.01092931	37.4643	66.9143	0.05372653	0.02576455	31.261	0.5208	0.3467921	0.03053266	29.2363	0.0956	0.2972376	0.02423481	29.4038	0.0885	0.1685143	0.0201316	30.0199	0.1297	0.3202555	0.02118863	29.3228	0.0719	-0.1162094	0.04679602	99.0	99.0	0.1691601	0.0374641	30.0158	0.2405	0.006566291803589508	0.0015632913587050512	-0.000761719778264295	0.0021614652884479582	0.0013230843655852277	0.0006652825568207886	0.008958666081505175	0.0007831256845201374	0.007743442328159989	0.0006253223860478028	0.004999723676443668	0.0006024942986470613	0.010328199234514309	0.0006887521314881231	-0.003832366192896547	0.0015942317608947094	0.0	0.0
2139	6017.1992	911.6215	214.9926493	52.9650156	0.02	-1	z8-10	nircam1	0.006255567	0.009154031	33.5959	1.5892	0.002256969	0.00737786	34.7027	3.5501	-0.03098097	0.01739243	99.0	99.0	0.1517372	0.02061116	30.1338	0.1475	0.03644365	0.01635977	31.6825	0.4875	-0.0008252147	0.01358989	99.0	99.0	0.1344135	0.01430344	30.2654	0.1156	0.6136939	0.03158978	28.6166	0.0559	-0.0002312533	0.02529025	99.0	99.0	0.0017390290514890728	0.0015624942285703686	-0.0015291460392404448	0.0021603637658042887	-0.0011963703199609338	0.0006649430882066202	0.007140426665714275	0.0007827261970511323	0.0023469471347663307	0.0006250033646240897	-3.571048845554644e-05	0.0006021870464135174	0.0033287207116387612	0.0006884007972427563	0.027481417465750356	0.0015934187447013502	0.0	0.0
3787	2404.2234	1581.7689	215.018028	52.9915516	0.0	-1	z8-10	nircam1	0.148513	0.03171049	30.1571	0.2319	0.08955797	0.02555766	30.7063	0.3099	-0.5272703	0.06024913	99.0	99.0	2.073411	0.07139914	27.2948	0.0374	0.007021506	0.05667192	33.4704	8.7653	1.46905	0.04707677	27.6689	0.0348	1.092028	0.04954857	27.9909	0.0493	0.6997129	0.1094302	28.4742	0.1698	1.548236	0.08760799	27.6119	0.0615	0.0030357353346875536	0.0015636905022412856	0.005738657096677473	0.0021620170421325358	0.006355624683548516	0.0006654520319915262	0.03164859678659643	0.0007833251708529202	2.849218659184994e-05	0.0006254818967596595	0.020071944449902294	0.0006026480749359904	0.01888785625501837	0.0006889276355029858	0.018824162569456956	0.0015946382689913893	0.0	0.0
4051	6704.687	1668.6047	214.9785084	52.9647454	0.347	-1	z8-10	nircam1	0.008547671	0.0141485	33.2569	1.7976	-0.01535044	0.01140324	99.0	99.0	0.009297867	0.02688179	33.1656	3.1398	-0.06854127	0.03185667	99.0	99.0	0.006891758	0.02528572	33.4907	3.9845	0.1004432	0.02100458	30.5817	0.2271	0.08987099	0.02210744	30.7025	0.2671	0.3341971	0.04882526	29.2765	0.1587	0.4482222	0.03908868	28.9578	0.0947	-0.0037037014641071292	0.0015624942285703686	0.00048695993947826333	0.0021603637658042887	0.0004984827097264685	0.0006649430882066202	-0.0018628082661586557	0.0007827261970511323	-0.00044499086526660916	0.0006250033646240897	0.0022584658021333657	0.0006021870464135174	0.0050448368099824375	0.0006884007972427563	0.011504466324260242	0.0015934187447013502	0.0	0.0
4069	189.9657	1668.652	215.0370088	53.0060605	0.347	-1	z8-10	nircam1	0.007430288	0.007316865	33.409	1.0694	0.003672045	0.005897162	34.1742	1.7441	0.04190908	0.01390186	31.5307	0.3602	-0.1066671	0.01647461	99.0	99.0	0.1429576	0.01307645	30.1985	0.0993	0.02513817	0.01086247	32.0857	0.4693	0.07617014	0.01143282	30.8821	0.163	0.1887931	0.02524988	29.8966	0.1452	0.0004955353	0.02021463	36.3488	44.3018	0.0018170170707181529	0.0015644864754381824	-0.0004736450116231504	0.0021631185647762053	0.0005596479573182815	0.0006657912414693481	-0.006339377069843171	0.0007837244009202055	0.003022083214240381	0.0006258004002914511	0.0015066619351996656	0.00060295502682522	0.0031018775316251452	0.0006892786435327117	0.00389630660016402	0.001595450943294003	0.0	0.0
5412	3607.7297	2189.0105	215.0008222	52.9872023	0.042	-1	z8-10	nircam1	0.04763481	0.01678239	31.3917	0.3826	-0.01329735	0.01352608	99.0	99.0	0.1019025	0.03188612	30.5661	0.3398	0.322872	0.03778712	29.3139	0.1271	0.4610047	0.02999292	28.9273	0.0707	0.08948886	0.0249148	30.7071	0.3024	0.1815627	0.02622298	29.939	0.1569	0.4079141	0.05791459	29.0601	0.1542	0.4411461	0.04636545	28.9751	0.1141	0.0032270060741889216	0.0015636905022412856	0.001148594179503428	0.0021620170421325358	0.003901976636699796	0.0006654520319915262	0.006974806677194984	0.0007833251708529202	0.008600457648422972	0.0006254818967596595	0.0033272533587391144	0.0006026480749359904	0.005967224583561268	0.0006889276355029858	0.012859762267245686	0.0015946382689913893	0.0	0.0
5434	3618.6643	2203.2681	215.0005738	52.98721	0.0	-1	z8-10	nircam1	0.05085577	0.02216166	31.3207	0.4733	0.02798632	0.0178616	31.9692	0.6931	0.4163094	0.0421066	29.038	0.1098	0.5110138	0.04989906	28.8154	0.106	0.944298	0.03960657	28.1487	0.0455	0.3706354	0.03290077	29.1642	0.0964	0.4115136	0.03462825	29.0506	0.0914	0.2966412	0.076478	29.4059	0.28	0.3417155	0.06122701	29.2524	0.1946	0.0016054837228295054	0.0015652836055728653	0.001338856712474919	0.0021642200874198753	0.010663924520500337	0.0006661299326744766	0.013646291167872195	0.0007841233735857712	0.012680627721492341	0.0006261191627692036	0.00832206940908688	0.0006032619787144497	0.008003332128483576	0.0006896293253467964	0.010224892343640317	0.0015962629338151248	0.0	0.0
5915	9999.5273	2387.4946	214.9413921	52.9477217	0.153	-1	z8-10	nircam1	-0.02172206	0.02343782	99.0	99.0	0.03272711	0.01889014	31.7992	0.6268	0.04444129	0.04453126	31.4671	1.0882	0.8027877	0.05277244	28.325	0.0714	0.723726	0.04188727	28.4376	0.0629	0.5048246	0.03479531	28.8287	0.0749	0.5239486	0.03662227	28.7883	0.0759	0.5818967	0.08088189	28.6744	0.151	0.5417435	0.06475269	28.752	0.1298	-0.0014457835016376084	0.0015664775653682105	0.00862632153140097	0.0021658693942971535	0.0003870310175133844	0.0006666380990503426	0.013143938249615501	0.0007847213177806803	0.0065247727211966535	0.0006265966591209301	0.011021410930547109	0.0006037221062039798	0.010314168699794509	0.000690155511175744	0.014523272717511786	0.0015974804067606894	0.0	0.0
