NUMBER	REDSHIFT	REDSHIFT_BIN	POINTING	SEX_FLUX_F606W	SEX_FLUXERR_F606W	EAZY_FLUX_F606W	EAZY_FLUXERR_F606W	SEX_FLUX_F814W	SEX_FLUXERR_F814W	EAZY_FLUX_F814W	EAZY_FLUXERR_F814W	SEX_FLUX_F115W	SEX_FLUXERR_F115W	EAZY_FLUX_F115W	EAZY_FLUXERR_F115W	SEX_FLUX_F150W	SEX_FLUXERR_F150W	EAZY_FLUX_F150W	EAZY_FLUXERR_F150W	SEX_FLUX_F200W	SEX_FLUXERR_F200W	EAZY_FLUX_F200W	EAZY_FLUXERR_F200W	SEX_FLUX_F277W	SEX_FLUXERR_F277W	EAZY_FLUX_F277W	EAZY_FLUXERR_F277W	SEX_FLUX_F356W	SEX_FLUXERR_F356W	EAZY_FLUX_F356W	EAZY_FLUXERR_F356W	SEX_FLUX_F410M	SEX_FLUXERR_F410M	EAZY_FLUX_F410M	EAZY_FLUXERR_F410M	SEX_FLUX_F444W	SEX_FLUXERR_F444W	EAZY_FLUX_F444W	EAZY_FLUXERR_F444W
958	-1	z7-8	nircam7	-0.05283257	0.02399295	0.0020235536043082584	0.001811011406670056	0.02362687	0.01463953	0.0018531215128005476	0.001895636515867782	-0.1189012	0.03235477	-0.0018761516027638117	0.0005465510491206008	0.2964082	0.0001470121	0.00415532758449142	2.4667688455391147e-06	0.02087925	0.000104315	0.0010877593372724394	1.7608404333486032e-06	0.0002912387	7.663128e-05	4.4430469060949975e-06	1.5019576885918175e-06	1.321012	0.02887285	0.039384118500936344	0.0006146481547402951	-0.001219794	0.000106648	-1.755574961867363e-05	2.3794254352644992e-06	-0.001270574	6.346277e-05	0.0	0.0
998	-1	z7-8	nircam7	0.02639777	0.01311765	0.003113122903205603	0.0018133218114290718	0.01929987	0.008003863	0.0029468271166787313	0.0018980553008152428	0.1870748	0.0176893	0.005329427528894451	0.0005472483195979877	0.3686854	8.037582e-05	0.010377842472332232	2.4699162929703928e-06	0.2035943	5.703209e-05	0.00562913094839327	1.7630872392093763e-06	0.1680427	4.189658e-05	0.006302230179136816	1.5038743476018175e-06	0.1035385	0.01578564	0.0040074263661393165	0.0006154325663358407	0.1900918	5.830758e-05	0.00627407678907227	2.3824614735762263e-06	0.160705	3.469696e-05	0.0	0.0
1359	-1	z7-8	nircam7	0.04744614	0.024889	0.0010432947954881076	0.0018165519817281062	0.02407417	0.01518626	0.0013025417933474317	0.0019014364791499379	0.4287765	0.03356309	0.006006569596733643	0.0005482231518844199	0.5229871	0.0001525024	0.00825009033848833	2.4743162382763513e-06	0.357769	0.0001082108	0.005582207789605864	1.766227955048152e-06	0.3928705	7.949316e-05	0.007983602772736815	1.5065531639642269e-06	0.5092595	0.02995114	0.009968562939075679	0.0006165289153212953	0.567879	0.0001106309	0.0244490031330459	2.3867060452731357e-06	0.3277527	6.583286e-05	0.0	0.0
1843	-1	z7-8	nircam7	0.04696766	0.01521566	0.007126062268182659	0.0018133218114290718	0.01994388	0.009283978	0.005717541602252241	0.0018980553008152428	0.3047793	0.02051848	0.007969770486180873	0.0005472483195979877	0.3853052	9.323091e-05	0.010802907331136457	2.4699162929703928e-06	0.2215587	6.615365e-05	0.00566560402787199	1.7630872392093763e-06	0.2128343	4.85974e-05	0.006538862462678634	1.5038743476018175e-06	0.2458645	0.01831035	0.00825319117065227	0.0006154325663358407	0.9165663	6.763313e-05	0.031366994990679076	2.3824614735762263e-06	0.5478949	4.02463e-05	0.0	0.0
2308	-1	z7-8	nircam7	-0.006583658	0.01075909	-0.0016946188376284975	0.0018128601932523832	0.007254987	0.006564764	0.001944952974696445	0.0018975716232147702	0.03114224	0.01450876	0.0012924067533919546	0.0005471090208542692	0.0094209	6.592421e-05	0.002381909414072147	2.4692872149824128e-06	0.04418076	4.677769e-05	0.0007208676347757534	1.762638085020719e-06	-0.02098998	3.436355e-05	-0.002137384525842681	1.5034910157998174e-06	0.04028102	0.01294737	0.0019386350819527035	0.0006152759450522042	0.1922421	4.782385e-05	0.004402686438270908	2.3818548130710444e-06	0.1634175	2.845843e-05	0.0	0.0
2820	-1	z7-8	nircam7	-0.01956793	0.01311765	0.0027503384507775817	0.0018147078228969234	-0.005032989	0.008003863	-0.0030989325083284024	0.0018995051427813702	0.1343425	0.0176893	0.005653069258793947	0.0005476664747487416	0.00820454	8.037582e-05	-0.001491375452395933	2.471803012561492e-06	-0.03276727	5.703209e-05	-0.000695324318860196	1.7644339255872354e-06	0.09409838	4.189658e-05	0.003732486134401816	1.5050228409239537e-06	0.03123196	0.01578564	0.0013582628425475448	0.0006159027564810906	0.213653	5.830758e-05	0.010231750046960905	2.384281455091772e-06	0.2828791	3.469696e-05	0.0	0.0
4316	-1	z7-8	nircam7	0.03575161	0.02047515	0.002147098362744025	0.00181378342960576	-0.02987624	0.01249311	-0.0018702816478085359	0.0018985385814706186	0.09145507	0.02761098	0.0019053178597989873	0.0005473876183417063	-0.01266363	0.0001254575	-0.0015830477521791755	2.4705456281447963e-06	-0.09677477	8.902056e-05	-0.002672868453038139	1.763536393398034e-06	0.1060576	6.539576e-05	0.0005674407190820452	1.5042570785702722e-06	0.08094762	0.02463957	0.0008562772715419996	0.000615589187619477	0.2079621	9.101145e-05	0.0033771312999129983	2.383068476054636e-06	0.9589473	5.415799e-05	0.0	0.0
6714	-1	z7-8	nircam7	0.01814297	0.02846589	0.0013816301444557525	0.0018119357999612196	0.0645997	0.01736873	0.00532467908575506	0.001896604466486373	0.2847591	0.03838656	0.004811350126884403	0.0005468299055276359	0.6070357	0.0001744191	0.009179284305918946	2.4680285446336074e-06	0.3491631	0.0001237621	0.007039917528003048	1.7617395179140323e-06	0.5854656	9.091741e-05	0.00826250369620136	1.5027246526125902e-06	0.2139539	0.03425553	0.00686527208804818	0.0006149620498962497	0.5932646	0.00012653	0.017531688382402717	2.3806404661409994e-06	0.5135198	7.529394e-05	0.0	0.0
8044	-1	z7-8	nircam7	-0.02837731	0.0179512	-0.0015402752383866468	0.0018156299023125147	-0.008957095	0.0109531	-0.0008597195684921953	0.0019004711086744765	0.226388	0.02420739	0.006657014464824094	0.0005479448133165807	0.2160193	0.0001099924	0.003108861752400357	2.4730601397917653e-06	-0.003314715	7.804706e-05	-0.0008206931881223843	1.7653311990470648e-06	0.08811274	5.733447e-05	0.003161378828608635	1.505788302860863e-06	0.1766741	0.02160227	0.005269278367189771	0.0006162159990483635	0.5195699	7.979254e-05	0.016273616755518177	2.3854937501824537e-06	0.5048791	4.748197e-05	0.0	0.0
8191	-1	z7-8	nircam7	-0.00285989	0.007504315	0.0006817999816103498	0.001811011406670056	-0.00465656	0.00457883	0.004758704843084602	0.001895636515867782	-0.02810908	0.01011965	-0.004136592708542697	0.0005465510491206008	0.0001965036	4.59812e-05	2.1843539787632775e-05	2.4667688455391147e-06	0.0002532583	3.262678e-05	2.814812560746271e-05	1.7608404333486032e-06	0.08090118	2.396809e-05	0.0017843927149707266	1.5019576885918175e-06	0.04685048	0.009030609	0.0015751262188742493	0.0006146481547402951	0.109005	3.335646e-05	0.005774494940814089	2.3794254352644992e-06	0.186261	1.984935e-05	0.0	0.0
8243	-1	z7-8	nircam7	-0.02236491	0.01696558	-0.0017393495232558463	0.001814246204720235	0.01953662	0.01035171	0.001025492772188051	0.0018990220605985429	0.08709298	0.02287828	0.00637582001381907	0.0005475269170854251	-0.0009954869	0.0001039532	-2.1734762790487864e-05	2.4711744489463546e-06	0.0003372481	7.376185e-05	7.410288623085603e-06	1.7639852888573201e-06	0.1468407	5.41865e-05	0.005855672663148633	1.5046401099554992e-06	0.05312032	0.02041619	0.0017473590552514087	0.0006157461351974544	0.3654599	7.54115e-05	0.016797235901921358	2.3836751365598174e-06	0.431526	4.487496e-05	0.0	0.0
9004	-1	z7-8	nircam7	0.04450506	0.02501438	0.0023576841785857856	0.001811474181784531	-0.04076712	0.01526277	-0.0017852123441094805	0.0018961205904133515	1.489303	0.03373218	0.03554836620603	0.0005466906067839173	1.725551	0.0001532707	0.03410438550726681	2.467398695086361e-06	0.8233504	0.0001087559	0.023131293240123276	1.7612901049960032e-06	1.042846	7.989363e-05	0.02468993872498999	1.5023413208105904e-06	0.8530577	0.03010203	0.02406458288053749	0.0006148051023182725	2.851481	0.0001111882	0.08118293947234542	2.3800331216893623e-06	1.586551	6.616452e-05	0.0	0.0
9657	-1	z7-8	nircam7	0.04348609	0.01250719	0.0042417573633913375	0.0018105486315555814	-0.0008855282	0.007631383	-0.0017250451925867505	0.0018951522428496644	-0.09067988	0.01686609	-0.002542631102638181	0.0005464112325376862	0.1188152	7.663534e-05	0.004472104100352357	2.466138738805446e-06	0.06450833	5.437796e-05	0.0032400472190228565	1.7603907617012026e-06	-0.04405409	3.994682e-05	-0.0023288987163724534	1.5015740563730448e-06	0.01856406	0.01505101	0.0016028380709533173	0.0006144912071623179	0.3321386	5.559409e-05	0.00835228228853136	2.3788177488396354e-06	0.1428326	3.308226e-05	0.0	0.0
