NUMBER	REDSHIFT	REDSHIFT_BIN	POINTING	SEX_FLUX_F606W	SEX_FLUXERR_F606W	EAZY_FLUX_F606W	EAZY_FLUXERR_F606W	SEX_FLUX_F814W	SEX_FLUXERR_F814W	EAZY_FLUX_F814W	EAZY_FLUXERR_F814W	SEX_FLUX_F115W	SEX_FLUXERR_F115W	EAZY_FLUX_F115W	EAZY_FLUXERR_F115W	SEX_FLUX_F150W	SEX_FLUXERR_F150W	EAZY_FLUX_F150W	EAZY_FLUXERR_F150W	SEX_FLUX_F200W	SEX_FLUXERR_F200W	EAZY_FLUX_F200W	EAZY_FLUXERR_F200W	SEX_FLUX_F277W	SEX_FLUXERR_F277W	EAZY_FLUX_F277W	EAZY_FLUXERR_F277W	SEX_FLUX_F356W	SEX_FLUXERR_F356W	EAZY_FLUX_F356W	EAZY_FLUXERR_F356W	SEX_FLUX_F410M	SEX_FLUXERR_F410M	EAZY_FLUX_F410M	EAZY_FLUXERR_F410M	SEX_FLUX_F444W	SEX_FLUXERR_F444W	EAZY_FLUX_F444W	EAZY_FLUXERR_F444W
345	-1	z7-8	nircam1	-0.02243287	0.01989233	0.00019731458249640905	0.001564088488839734	0.02609553	0.01603259	0.005263757937020924	0.0021625687958171124	-0.07187427	0.03779492	0.00017467380864314255	0.0006656215071622638	0.1752925	0.04478944	0.006224686585587634	0.0007835249145874228	-0.007061736	0.03555089	0.0018433824342194015	0.0006256411485255554	0.05323901	0.02953175	0.004120048217690485	0.0006028015508806052	0.5549479	0.03108234	0.010119052600594152	0.0006891031395178487	0.9649878	0.06864672	0.028786718724986882	0.001595044777088069	-0.0005963572	0.05495741	0.0	0.0
658	-1	z7-8	nircam1	-0.04207531	0.01447379	0.0008574417642518962	0.0015652836055728653	-0.01759137	0.01166542	-0.002047526167857333	0.0021642200874198753	0.3504083	0.02749984	0.006186507120969368	0.0006661299326744766	0.4636087	0.0325891	0.010537001946482851	0.0007841233735857712	0.2826118	0.02586707	0.006785880880775573	0.0006261191627692036	0.1626002	0.02148751	0.0035716495341832732	0.0006032619787144497	0.1535767	0.02261573	0.0027814766844170458	0.0006896293253467964	0.5290991	0.04994782	0.01937668536582536	0.0015962629338151248	0.07157905	0.03998739	0.0	0.0
740	-1	z7-8	nircam1	-0.157783	0.06219804	0.0008677837468164005	0.0015636905022412856	0.3173672	0.05012965	0.0014637568764965265	0.0021620170421325358	13.65306	0.1181747	0.030989493773850085	0.0006654520319915262	16.1507	0.1400447	0.03833424609390982	0.0007833251708529202	12.70096	0.1111582	0.022824154708197816	0.0006254818967596595	5.951633	0.09233797	0.014161702957068466	0.0006026480749359904	4.972605	0.09718625	0.013435990403279667	0.0006889276355029858	3.747956	0.2146401	0.024897608925020596	0.0015946382689913893	2.626362	0.1718373	0.0	0.0
776	-1	z7-8	nircam1	0.008718523	0.01929839	0.0003536899958783616	0.001566079578769762	-0.06858025	0.01555389	-0.007298554075623307	0.002165319625338061	0.2152266	0.03666645	0.004196591340619164	0.0006664688830159517	-0.0133467	0.04345214	-0.00012497270483180723	0.0007845220888496172	0.2231087	0.03448943	0.004633169888047846	0.0006264374073550343	0.049088	0.02865001	0.000386693304680177	0.0006035686302593651	0.3655534	0.0301543	0.008124191761321033	0.0006899803333765222	0.7779453	0.0665971	0.01923712898232354	0.001597074582445501	-6.592902e-05	0.05331652	0.0	0.0
1651	-1	z7-8	nircam1	0.04313168	0.01303535	0.005330832649853979	0.0015632913587050512	-0.00457048	0.01050608	0.001867619138571629	0.0021614652884479582	0.1726663	0.02476683	0.004858498128251576	0.0006652825568207886	0.1569514	0.0293503	0.005303757286791442	0.0007831256845201374	0.1342594	0.02329633	0.0030590555185242884	0.0006253223860478028	0.09341374	0.01935202	0.0032089297126716952	0.0006024942986470613	0.1024053	0.02036811	0.004157758617386431	0.0006887521314881231	0.2194852	0.04498386	0.012697531689486681	0.0015942317608947094	0.09530212	0.03601333	0.0	0.0
2648	-1	z7-8	nircam1	0.02625544	0.01471305	0.001354956943795211	0.001564088488839734	0.009353149	0.01185825	0.0020826379463963654	0.0021625687958171124	-0.0238043	0.02795441	2.5234337241496406e-05	0.0006656215071622638	0.2351167	0.0331278	0.005487629631256062	0.0007835249145874228	-0.01667589	0.02629466	-0.00016212505617150687	0.0006256411485255554	0.08215326	0.0218427	0.002701205458274866	0.0006028015508806052	0.3132816	0.02298957	0.00810074664320171	0.0006891031395178487	0.5782191	0.05077346	0.017814853223341035	0.001595044777088069	0.2550942	0.04064839	0.0	0.0
4066	-1	z7-8	nircam1	-0.02689152	0.04178225	-0.0007319805383733109	0.0015636905022412856	-0.03644856	0.03367517	0.0017671050981004838	0.0021620170421325358	1.50362	0.07938521	0.015649536800895508	0.0006654520319915262	2.216012	0.09407664	0.012635286711277264	0.0007833251708529202	2.70938	0.0746718	0.013914849622861693	0.0006254818967596595	2.000921	0.06202909	0.014725254011232853	0.0006026480749359904	2.340443	0.06528598	0.017569713452236548	0.0006889276355029858	2.073876	0.144187	0.020032387370349316	0.0015946382689913893	2.162656	0.1154337	0.0	0.0
4155	-1	z7-8	nircam1	0.006481661	0.007628359	0.002938149946298251	0.0015648856189744169	-0.002990835	0.006148217	0.0013723497489091273	0.002163668333735298	-0.03637914	0.01449369	-0.001112909758508647	0.0006659607166400858	0.1263082	0.01717597	0.006583139072434991	0.0007839238872529884	0.009316429	0.01363315	-0.0004572566175380766	0.0006259599110033078	0.08855826	0.01132491	0.0026567731211037775	0.0006031085027698349	0.05497834	0.01191953	-0.0027616277675242074	0.0006894541475475746	0.2323003	0.02632482	0.012120126084643641	0.0015958571094999365	0.1474948	0.02107521	0.0	0.0
4302	-1	z7-8	nircam1	0.05191967	0.01965691	0.002492351736897954	0.0015644864754381824	0.01793606	0.01584285	0.0028978301986530065	0.0021631185647762053	0.4604408	0.03734762	0.00915925450615115	0.0006657912414693481	0.7081748	0.04425937	0.01280556824494068	0.0007837244009202055	0.3427927	0.03513016	0.006987260565034936	0.0006258004002914511	0.3532181	0.02918225	0.008150266454412584	0.00060295502682522	0.5409435	0.03071449	0.013431593016438863	0.0006892786435327117	0.5656542	0.0678343	0.013310428972644539	0.001595450943294003	0.2465252	0.05430701	0.0	0.0
4313	-1	z7-8	nircam1	0.00276825	0.01600138	0.0010062335661391716	0.0015628922151688168	0.02363737	0.01289661	0.005609614215152923	0.002160915519488866	0.4949138	0.03040222	0.01055820466513977	0.0006651128225137044	0.5788574	0.03602861	0.012071638721503705	0.0007829259407856348	0.329111	0.02859713	0.00819324181991877	0.0006251628753359464	0.1637806	0.02375533	0.004624740796578621	0.0006023408227024465	0.1962582	0.02500262	0.004796364880538638	0.0006885763012576191	0.07126429	0.0552194	0.003678166628754871	0.0015938252527980298	0.3445828	0.04420773	0.0	0.0
